CustomerID,Age,Annual_Income,Membership_Years,Rating,Days_Since_Last_Purchase,Purchase_Amount,Customer_LTV,Category_Apparel,Category_Beauty,Category_Electronics,Category_Groceries,Category_Home,City_Faisalabad,City_Islamabad,City_Karachi,City_Lahore,Income_to_Purchase_Ratio,Purchase_per_Membership_Year,Recency_Score,Age_Group_18-25,Age_Group_26-35,Age_Group_36-50,Age_Group_51-65,Age_Group_65+
1001,22.0,92454.9,14.0,4.4,229.0,2310.05,8199.76,False,False,False,False,True,False,False,True,False,0.025,154.0,0.00435,True,False,False,False,False
1002,58.0,59444.62,7.0,4.2,38.0,1382.72,4871.57,False,False,True,False,False,False,True,False,False,0.0233,172.84,0.02564,False,False,False,True,False
1003,52.0,72996.0,9.0,4.1,126.0,1555.23,6393.82,False,True,False,False,False,False,False,True,False,0.0213,155.52,0.00787,False,False,False,True,False
1005,40.0,39560.34999999999,14.0,3.0,174.0,2040.76,6106.0,False,False,True,False,False,False,True,False,False,0.0516,136.05,0.00571,False,False,True,False,False
1006,62.0,58536.86,11.0,4.2,200.0,1875.6,6327.47,True,False,False,False,False,False,False,True,False,0.032,156.3,0.00498,False,False,False,True,False
1007,22.0,41413.07,1.0,4.1,286.0,644.1399999999999,958.96,True,False,False,False,False,False,False,True,False,0.0156,322.07,0.00348,True,False,False,False,False
1008,54.0,80716.72,1.0,3.2,172.0,1627.0,5219.92,False,False,False,False,True,False,False,False,True,0.0202,813.5,0.00578,False,False,False,True,False
1009,28.0,108940.52,6.0,4.7,60.0,2407.49,8410.78,False,False,False,False,True,False,False,False,True,0.0221,343.93,0.01639,False,True,False,False,False
1011,45.0,46575.81,10.0,3.2,21.0,1023.86,3895.48,True,False,False,False,False,False,False,True,False,0.022,93.08,0.04545,False,False,True,False,False
1012,68.0,70179.86,7.0,5.0,339.0,2087.81,7168.81,False,False,False,True,False,False,False,True,False,0.0297,260.98,0.00294,False,False,False,False,True
1013,56.0,100444.56,7.0,4.5,308.0,2120.98,6980.8,True,False,False,False,False,False,False,True,False,0.0211,265.12,0.00324,False,False,False,True,False
1014,57.0,38107.77,13.0,3.4,90.0,844.28,3531.2,False,True,False,False,False,False,False,False,True,0.0222,60.31,0.01099,False,False,False,True,False
1015,55.0,70478.79,5.0,4.0,105.0,1592.32,6029.13,True,False,False,False,False,False,True,False,False,0.0226,265.39,0.00943,False,False,False,True,False
1016,58.0,105068.57,7.0,3.8,11.0,2428.58,8826.56,True,False,False,False,False,False,False,False,True,0.0231,303.57,0.08333,False,False,False,True,False
1017,44.0,33477.647327087725,8.0,3.7,145.0,104.14000000000033,2506.08,False,False,False,True,False,False,True,False,False,0.0031,11.57,0.00685,False,False,True,False,False
1018,24.0,36816.48,7.0,2.9,15.0,1000.03,3431.56,False,False,False,True,False,False,False,True,False,0.0272,125.0,0.0625,True,False,False,False,False
1019,61.0,57547.06341670593,14.0,3.7,374.0,2020.8,8652.3,False,True,False,False,False,False,False,False,True,0.0351,134.72,0.00267,False,False,False,True,False
1020,41.0,53547.05,14.0,3.4,53.0,1811.43,6769.18,False,False,True,False,False,False,False,False,True,0.0338,120.76,0.01852,False,False,True,False,False
1021,44.0,82877.23,7.0,3.9,263.0,2829.46,9475.22,False,False,True,False,False,False,True,False,False,0.0341,353.68,0.00379,False,False,True,False,False
1022,37.0,70316.51,6.0,3.7,228.0,2146.77,6561.36,False,False,False,True,False,False,False,False,True,0.0305,306.68,0.00437,False,False,True,False,False
1023,27.0,25950.83,8.0,3.4,94.0,1418.59,4826.8,False,False,False,True,False,False,False,False,True,0.0547,157.62,0.01053,False,True,False,False,False
1024,66.0,76339.03,2.0,2.7,323.0,2726.81,5943.47,True,False,False,False,False,False,True,False,False,0.0357,908.94,0.00309,False,False,False,False,True
1025,58.0,52294.14,6.0,3.7,43.0,1589.15,5154.29,False,False,True,False,False,False,False,False,True,0.0304,227.02,0.02273,False,False,False,True,False
1026,51.0,93037.84,3.0000000000000004,3.4,354.0,2045.98,6568.2,False,False,False,True,False,False,False,False,True,0.022,511.5,0.00282,False,False,False,True,False
1027,38.0,51193.07,2.0,3.6,296.0,3150.0225,4217.29,False,False,False,True,False,False,False,False,True,0.0615,1050.01,0.00337,False,False,True,False,False
1028,60.0,50994.46,1.0,3.7,254.0,836.19,4155.37,True,False,False,False,False,False,True,False,False,0.0164,418.1,0.00392,False,False,False,True,False
1029,46.0,76904.9,8.0,5.0,351.0,1901.17,5792.0,True,False,False,False,False,False,False,False,True,0.0247,211.24,0.00284,False,False,True,False,False
1030,41.0,81784.38,-8.881784197001252e-16,1.7,161.0,1376.6,3808.48,True,False,False,False,False,False,False,False,True,0.0168,1376.6,0.00617,False,False,True,False,False
1031,41.0,74858.19,9.0,3.4,112.0,2016.36,6415.58,True,False,False,False,False,False,False,False,True,0.0269,201.64,0.00885,False,False,True,False,False
1032,29.0,32448.931890345913,6.0,3.7,61.0,537.5700000000002,2072.07,False,False,False,False,True,False,False,False,True,0.0166,76.8,0.01613,False,True,False,False,False
1033,22.0,76836.76,5.0,3.0,369.0,1461.96,5998.4,True,False,False,False,False,False,False,False,True,0.019,243.66,0.0027,True,False,False,False,False
1034,46.0,42245.22,11.0,4.5,160.0,1450.29,6880.6,False,False,False,True,False,False,False,False,True,0.0343,120.86,0.00621,False,False,True,False,False
1035,64.0,70176.07,8.0,4.4,331.0,1668.44,5512.23,True,False,False,False,False,False,False,False,True,0.0238,185.38,0.00301,False,False,False,True,False
1036,21.0,34956.480143140725,11.0,3.7,132.0,342.54999999999995,2264.75,False,False,True,False,False,False,False,True,False,0.0098,28.55,0.00752,True,False,False,False,False
1037,62.0,74819.09,10.0,3.5,381.0,1314.16,4607.89,False,False,False,True,False,False,True,False,False,0.0176,119.47,0.00262,False,False,False,True,False
